nohup: ignoring input

LLM Content Enhancement Pipeline
    CFP-INV [164/704] +15 enhanced
    CFP-INV [179/704] +15 enhanced
    CFP-INV [194/704] +15 enhanced
    CFP-INV [209/704] +15 enhanced
    CFP-INV [224/704] +15 enhanced
    CFP-RET [239/704] +15 enhanced
    CFP-RET [254/704] +15 enhanced
    CFP-RET [269/704] +15 enhanced
    CFP-RET [284/704] +15 enhanced
    CFP-RET [299/704] +15 enhanced
    CFP-RET [314/704] +15 enhanced
    CFP-RET [329/704] +15 enhanced
    CFP-RET [344/704] +15 enhanced
    CFP-RET [352/704] +8 enhanced
    CFP-RISK [367/704] +15 enhanced
    CFP-RISK [382/704] +15 enhanced
    CFP-RISK [397/704] +15 enhanced
    CFP-RISK [412/704] +15 enhanced
    CFP-RISK [427/704] +15 enhanced
    CFP-RISK [430/704] +3 enhanced
    CFP-PCR [445/704] +15 enhanced
    CFP-PCR [460/704] +15 enhanced
    CFP-PCR [475/704] +15 enhanced
    CFP-PCR [485/704] +10 enhanced
    CFP-TAX [500/704] +15 enhanced
    CFP-TAX [515/704] +15 enhanced
    CFP-TAX [530/704] +15 enhanced
    CFP-TAX [545/704] +15 enhanced
    CFP-TAX [560/704] +15 enhanced
    JSON parse error (attempt 1), retrying...
    JSON parse error (attempt 2), retrying...
    CFP-TAX [575/704] +15 enhanced
    CFP-TAX [584/704] +9 enhanced
    JSON parse error (attempt 1), retrying...
    CFP-PSY [599/704] +15 enhanced
    CFP-PSY [614/704] +15 enhanced
    JSON parse error (attempt 1), retrying...
    CFP-PSY [629/704] +15 enhanced
    CFP-PSY [632/704] +3 enhanced
    CFP-EST [647/704] +15 enhanced
    JSON parse error (attempt 1), retrying...
    CFP-EST [662/704] +15 enhanced
    JSON parse error (attempt 1), retrying...
    CFP-EST [677/704] +15 enhanced
    CFP-EST [692/704] +15 enhanced
    CFP-EST [704/704] +12 enhanced
  cfp: 704/704 flashcards enhanced ✓
  cpa: 64 flashcards to enhance...
    FAR [15/64] +15 enhanced
    FAR [30/64] +15 enhanced
    FAR [45/64] +15 enhanced
    FAR [60/64] +15 enhanced
    FAR [64/64] +4 enhanced
  cpa: 64/64 flashcards enhanced ✓
  ea: 36 flashcards to enhance...
    SEE1 [15/36] +15 enhanced
    SEE1 [30/36] +15 enhanced
    SEE1 [36/36] +6 enhanced
  ea: 36/36 flashcards enhanced ✓

======================================================================
COMPLETE: 2110 items enhanced in 0h 22m
======================================================================


======================================================================
ENHANCEMENT PROGRESS
======================================================================

MCQs:
  CIA1      : ✓
  CIA2      : ✓
  CIA3      : ✓
  CISA1     : ✓
  CISA2     : ✓
  CISA3     : ✓
  CISA4     : ✓
  CISA5     : ✓
  FAR       : ✓
  SEE1      : ✓
  CFP-PCR   : ✓
  CFP-GEN   : ✓
  CFP-RISK  : ✓
  CFP-INV   : ✓
  CFP-TAX   : ✓
  CFP-RET   : ✓
  CFP-EST   : ✓
  CFP-PSY   : ✓
  TOTAL     : 4849/4849

Lessons:
  CIA1      : ✓
  CIA2      : ✓
  CIA3      : ✓
  CISA1     : ✓
  CISA2     : ✓
  CISA3     : ✓
  CISA4     : ✓
  CISA5     : ✓
  FAR       : ✓
  SEE1      : ✓
  CFP-PCR   : ✓
  CFP-GEN   : ✓
  CFP-RISK  : ✓
  CFP-INV   : ✓
  CFP-TAX   : ✓
  CFP-RET   : ✓
  CFP-EST   : ✓
  CFP-PSY   : ✓
  TOTAL     : 272/272

Flashcards:
  cia       : ✓
  cisa      : ✓
  cfp       : ✓
  cpa       : ✓
  ea        : ✓
  TOTAL     : 2110/2110

======================================================================
GRAND TOTAL: 7231/7231 (100.0%)
======================================================================

